totalPages;currentPage;pageSize;nextResourceURI;band;isGuestUser;dot11Status;macAddress;currentlyTracked;confidenceFactor;historyLogReason;ipAddress;ssId;apMacAddress;mapHierarchyString;floorRefId;length;width;height;offsetX;offsetY;unit;imageName;x;y;unit2;currentServerTime;firstLocatedTime;lastLocatedTime;latitude;longitude;unit3
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;f0:27:65:4b:2c:72;CERT;960;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;243.54;2499.1;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:41:25.764+0200;2017-06-26T11:00:49.727+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;84:8e:df:bd:1d:ad;CERT;848;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1161.99;2268.62;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:56:21.873+0200;2017-06-26T11:00:47.698+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;a8:66:7f:85:dc:7b;CERT;256;SIGNIFICANT_MOVEMENT;;Andorra wifi;68:86:a7:29:31:a0;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2961.34;1990.24;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:58:38.932+0200;2017-06-26T11:00:57.792+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;18:e2:9f:d4:08:c1;CERT;448;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2440.59;1670.14;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:37:36.094+0200;2017-06-26T11:00:55.753+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;48:13:7e:9b:0a:da;CERT;936;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;310.9;2503.77;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:56:07.826+0200;2017-06-26T11:00:29.629+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;ec:1f:72:e3:eb:c5;CERT;480;SIGNIFICANT_MOVEMENT;;Andorra wifi;dc:a5:f4:b9:63:a0;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;2508.35;1710.76;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:41:31.783+0200;2017-06-26T11:01:01.804+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;80:6a:b0:64:c8:48;CERT;288;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1175.87;2230.78;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T11:02:26.433+0200;2017-06-26T11:02:26.433+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;UNKNOWN;40:f3:08:ef:56:fb;CERT;208;SIGNIFICANT_MOVEMENT;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;3252.22;1986.76;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:22:54.437+0200;2017-06-26T11:02:24.508+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;PROBING;28:be:03:36:93:37;CERT;832;NETWORK_STATUS_CHANGE;;;;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;799.32;2397.77;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T10:39:20.845+0200;2017-06-26T11:02:30.507+0200;;;
2416;1;5000;https://10.30.5.17/api/contextaware/v1/location/history/clients/?page=2&pageSize=5000;UNKNOWN;FALS;ASSOCIATED;00:87:01:a6:eb:e1;CERT;416;SIGNIFICANT_MOVEMENT;;Andorra wifi;dc:a5:f4:b9:63:60;WiFi Public - Andorra Telecom>Andorra La Vella>Andorra La Vella;-4.56432E+18;4795.434;3783.4788;321.84094;0;0;FEET;domain_5_1490020184435.jpg;1339.77;2205.24;FEET;2017-07-21T10:48:33.975+0200;2017-06-26T11:02:08.327+0200;2017-06-26T11:02:34.510+0200;;;
